source_id_1,TYC_ID_1,ra_1,dec_1,mu_ra_1,mu_dec_1,mu_ra_err_1,mu_dec_err_1,plx_1,plx_err_1,source_id_2,TYC_ID_2,ra_2,dec_2,mu_ra_2,mu_dec_2,mu_ra_err_2,mu_dec_err_2,plx_2,plx_err_2,P_log_flat,P_power_law,theta
6380567509012193536,9344-983-1,348.519156546,-73.162527376,-17.577,-10.023,1.111,0.904,1.639,0.245,6380567612091407872,9344-2153-1,348.528178377,-73.150464889,-18.162,-10.353,0.059,0.057,1.816,0.265,1.0,0.9997,44.43
1909972781164922624,2751-15-1,348.600733775,31.778033534,68.806,18.096,0.886,0.524,4.78,0.293,1909972781164922752,2751-877-1,348.602862878,31.773709237,67.772,18.321,0.997,0.528,4.941,0.285,1.0,1.0,16.88
1916288650833600000,2763-1099-1,348.745347012,35.931626117,5.52,-29.14,0.08,0.059,6.806,0.334,1916288719553076864,2763-1295-1,348.739305833,35.928394814,4.69,-29.321,0.803,0.395,6.714,0.253,1.0,1.0,21.11
2839511662317693056,2240-1327-1,348.763013529,24.38534555,3.841,-20.177,0.624,0.361,5.668,0.326,2839512418231936896,2240-1193-1,348.751064004,24.387001912,6.799,-18.816,1.614,0.523,5.86,0.44,1.0,1.0,39.63
2379646971314317056,6975-467-1,348.804478352,-26.647809825,43.559,-5.478,0.892,0.666,6.304,0.346,2379646971314955008,6975-467-2,348.805167142,-26.648449709,45.323,-5.209,1.031,0.619,6.458,0.382,1.0,1.0,3.2
1911243988405671680,2756-2225-1,348.82003138,33.286750949,-16.965,-10.758,1.438,0.428,1.828,0.373,1911244057125148288,2756-129-1,348.816604197,33.287770563,-19.787,-11.081,1.311,0.378,2.117,0.329,1.0,0.9999,10.95
1938065921730695808,3636-1337-1,348.858376168,45.196994299,18.825,-2.935,1.058,0.679,3.498,0.372,1938066024809911040,3636-1257-1,348.824001704,45.190234823,18.03,-3.548,0.815,0.506,3.829,0.268,1.0,0.9999,90.54
1936568764850194560,3225-2845-1,348.870460826,42.187008249,-10.565,0.449,1.331,0.542,2.105,0.57,1936568764850244864,3225-3349-1,348.867165755,42.185265056,-9.988,0.66,1.275,0.503,1.806,0.493,0.9998,0.9998,10.8
2208727579538492288,4287-1369-1,348.935180537,65.446203136,24.149,4.998,0.738,0.756,3.547,0.278,2208727648257968768,4287-2034-1,348.930014905,65.449030986,22.932,5.36,1.633,1.639,4.006,0.57,1.0,1.0,12.78
1916739347521541632,3217-336-1,349.089127139,37.600275508,-7.236,-14.653,0.8,0.446,2.349,0.302,1916739416241018496,3217-894-1,349.078985403,37.597361313,-7.143,-15.02,0.613,0.679,3.026,0.398,1.0,0.9995,30.77
2637101707766530304,5246-755-1,349.121254367,-3.415301362,-0.269,12.792,1.411,0.639,2.946,0.443,2637123732359149952,5246-1025-1,349.358065753,-3.342587047,-1.297,13.516,3.117,1.499,3.078,0.994,1.0,0.1053,890.39
2844264782365431424,2240-1075-1,349.170007094,26.146916358,-2.335,-14.732,1.273,0.373,3.475,0.341,2844268905534033920,2240-941-1,349.103210529,26.20703578,-4.359,-14.415,0.444,0.413,3.708,0.499,0.9905,0.8359,305.64
2664097604446569856,583-1076-1,349.179839994,5.901399513,39.556,-2.461,2.653,0.951,7.783,0.753,2664345235081015808,583-803-1,349.108595174,6.552885966,40.362,-3.18,0.707,0.692,10.316,0.614,0.9923,0.4153,2359.17
2837739352652882944,1718-260-1,349.247763121,21.40586887,3.797,1.101,0.178,0.147,5.734,0.277,2837740830121632384,1718-542-1,349.252721216,21.410933936,3.96,1.695,0.105,0.085,6.117,0.404,1.0,1.0,24.67
1996036710232904832,4002-1172-1,349.315888962,54.439338489,1.16,0.047,1.631,0.73,1.175,0.39,1996036710236745984,4002-1172-2,349.316616073,54.438957954,-0.962,0.823,1.809,0.828,2.184,0.506,0.9959,0.9924,2.05
6388327174885735808,9132-1238-1,349.326095166,-66.939595351,355.016,-407.18,0.088,0.082,35.009,0.239,6388328686714223360,9132-1357-1,349.340563774,-66.921023394,365.534,-413.875,0.055,0.052,35.717,0.331,1.0,1.0,69.91
1916528997202695040,2764-323-1,349.492864664,37.300875706,-0.746,-9.988,0.905,0.429,3.376,0.297,1916529753116938368,2764-787-1,349.492605951,37.310022896,-3.294,-11.885,0.847,0.335,4.358,0.326,0.9923,0.8185,32.94
2281994911244992000,4605-277-1,349.680784799,78.144967862,2.27,23.966,1.028,1.359,2.461,0.44,2281995014324206848,4605-638-1,349.764125341,78.160579624,2.153,24.506,1.392,1.288,2.637,0.513,1.0,0.9999,83.38
2841156428633247744,2241-62-1,349.687866877,25.21185592,6.753,-4.072,0.897,0.481,3.932,0.306,2841156428633247872,2241-62-2,349.688668771,25.212462825,3.83,-3.597,0.999,0.506,4.591,0.317,1.0,1.0,3.41
6548415243255639936,8009-218-1,349.760668628,-40.393512682,16.876,-10.852,0.828,0.745,2.823,0.385,6548415243256557952,8009-218-2,349.761698037,-40.392575849,15.687,-10.03,1.037,0.832,2.61,0.458,1.0,1.0,4.4
6492205597503797504,8837-827-1,349.895833994,-58.551901864,-15.899,-11.03,0.474,0.467,4.089,0.278,6492210888903427712,8837-1136-1,349.49416242,-58.420704039,-15.757,-11.679,0.42,0.466,4.0,0.239,0.9995,0.9986,891.27
6555882816994383744,7510-321-1,349.954582985,-32.797157395,31.475,-8.099,0.934,0.757,2.265,0.354,6555883126232028672,7510-960-1,349.933982468,-32.765408962,31.422,-6.355,0.701,0.573,1.859,0.256,1.0,0.9999,130.2
2869998955091986688,2249-1107-1,350.004792638,29.233915015,34.151,-5.477,0.759,0.516,5.39,0.383,2869998955092979200,2249-1107-2,350.005335606,29.23437465,30.827,-6.277,0.826,0.55,5.859,0.404,1.0,1.0,2.38
1910214708082777984,2756-2150-1,350.101018273,32.400652942,-6.103,0.799,0.974,0.407,2.387,0.343,1910214776802254464,2756-1763-1,350.094527707,32.403144105,-5.437,0.719,1.226,0.552,1.794,0.437,0.9996,0.9946,21.67
1910221476951233664,2756-1757-1,350.123710338,32.482873193,24.242,-4.267,0.736,0.438,4.387,0.325,1910221511310971264,2756-1907-1,350.132931102,32.48931497,22.969,-4.931,0.917,0.388,4.566,0.414,1.0,1.0,36.36
